"Player Name","Age","Position","Pos","Market values","Fee","Team_Name","Club_Logo_URL","Transfer_Type"
"Lenny RodriguesL. Rodrigues",36,"Defensive Midfield","DM","<U+20B9>40 L","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Departures"
"Nikhil PrabhuN. Prabhu",22,"Centre-Back","CB","<U+20B9>60 L","?","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Departures"
"Amarjit SinghA. Singh",22,"Defensive Midfield","DM","<U+20B9>60 L","?","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Departures"
"Fares ArnaoutF. Arnaout",26,"Centre-Back","CB","<U+20B9>2.8 Cr","?","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Departures"
"Hernán SantanaH. Santana",32,"Central Midfield","CM","<U+20B9>1.6 Cr","-","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Departures"
"Rowllin BorgesR. Borges",31,"Defensive Midfield","DM","<U+20B9>80 L","End of loanMay 31, 2024","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Departures"
"Akash MishraA. Mishra",21,"Left-Back","LB","<U+20B9>3 Cr","<U+20B9>2.6 Cr","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Arrivals"
"TiriTiri",31,"Centre-Back","CB","<U+20B9>2.4 Cr","free transfer","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Arrivals"
"Franklin Robin NazarethF. Nazareth",19,"Defensive Midfield","DM","-","free transfer","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Arrivals"
"Nathan Asher RodriguesN. Rodrigues",19,"Centre-Back","CB","-","free transfer","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Arrivals"
"Vinit RaiVinit Rai",25,"Defensive Midfield","DM","<U+20B9>1 Cr","free transfer","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Arrivals"
"Seilenthang LotjemS. Lotjem",19,"Centre-Forward","CF","<U+20B9>80 L","free transfer","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Arrivals"
"Yoëll van NieffY. van Nieff",30,"Defensive Midfield","DM","<U+20B9>4 Cr","free transfer","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Arrivals"
"Nasser El KhayatiN. El Khayati",34,"Attacking Midfield","AM","<U+20B9>3 Cr","free transfer","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Arrivals"
"Jayesh RaneJ. Rane",30,"Defensive Midfield","DM","<U+20B9>80 L","loan transfer","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Arrivals"
"Amey RanawadeA. Ranawade",26,"Centre-Back","CB","<U+20B9>60 L","End of loanMay 31, 2024","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Arrivals"
"Huidrom Naocha SinghH. Singh",24,"Left-Back","LB","<U+20B9>1.4 Cr","End of loanMay 31, 2024","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Arrivals"
"Naorem Tondomba SinghN. Singh",25,"Defensive Midfield","DM","<U+20B9>80 L","End of loanMay 31, 2024","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Arrivals"
"Gyamar NikumG. Nikum",19,"Right Midfield","RM","<U+20B9>1 Cr","End of loanMay 31, 2024","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Arrivals"
"Rowllin BorgesR. Borges",31,"Defensive Midfield","DM","<U+20B9>80 L","End of loanMay 31, 2024","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Arrivals"
"Asif KhanAsif Khan",22,"Attacking Midfield","AM","<U+20B9>20 L","free transfer","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Departures"
"Jackichand SinghJ. Singh",31,"Right Winger","RW","<U+20B9>40 L","free transfer","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Departures"
"Mandar Rao DesaiM. Desai",31,"Left-Back","LB","<U+20B9>1.4 Cr","free transfer","Mumbai City FC","https://www.indiansuperleague.com/static-assets/images/club/506.png?v=100.33","Departures"
